"daily.time","daily.summary","daily.icon","daily.sunriseTime","daily.sunsetTime","daily.moonPhase","daily.precipIntensity","daily.precipIntensityMax","daily.precipIntensityMaxTime","daily.precipProbability","daily.precipType","daily.temperatureHigh","daily.temperatureHighTime","daily.temperatureLow","daily.temperatureLowTime","daily.apparentTemperatureHigh","daily.apparentTemperatureHighTime","daily.apparentTemperatureLow","daily.apparentTemperatureLowTime","daily.dewPoint","daily.humidity","daily.pressure","daily.windSpeed","daily.windGust","daily.windGustTime","daily.windBearing","daily.cloudCover","daily.uvIndex","daily.uvIndexTime","daily.visibility","daily.temperatureMin","daily.temperatureMinTime","daily.temperatureMax","daily.temperatureMaxTime","daily.apparentTemperatureMin","daily.apparentTemperatureMinTime","daily.apparentTemperatureMax","daily.apparentTemperatureMaxTime","id","location","home.team","latitude","longitude","daily.precipAccumulation"
2010-03-13,"Mostly cloudy throughout the day.","partly-cloudy-day",2010-03-13 06:30:52,2010-03-13 18:11:05,0.93,0,0,,0,,45.58,1268488800,40.08,1268546400,41.48,1268485200,34.86,1268546400,36.27,0.84,1030.18,4.79,18.01,1268492400,293,0.6,2,1268474400,5.99,32.98,2010-03-13 06:00:00,45.58,2010-03-13 14:00:00,32.98,2010-03-13 06:00:00,41.48,2010-03-13 13:00:00,"0910-83","Bolton","Bolton",53.58055556,-2.53555556,
2009-08-29,"Partly cloudy throughout the day.","partly-cloudy-day",2009-08-29 06:15:49,2009-08-29 20:09:13,0.31,0,0,,0,,60.87,1251558000,52.62,1251608400,60.87,1251558000,52.62,1251608400,49.37,0.77,1017.89,6.89,17.96,1251554400,263,0.41,5,1251547200,6.18,52.99,2009-08-29 06:00:00,60.87,2009-08-29 16:00:00,52.99,2009-08-29 06:00:00,60.87,2009-08-29 16:00:00,"0910-84","Bolton","Bolton",53.58055556,-2.53555556,
2009-12-29,"Partly cloudy throughout the day.","partly-cloudy-night",2009-12-29 08:28:08,2009-12-29 15:58:48,0.41,7e-04,0.0067,2009-12-29 19:00:00,0.53,"rain",38.39,1262095200,36.38,1262131200,33.15,1262098800,30.13,1262160000,33.01,0.9,998.12,6.03,16.79,1262124000,74,0.45,0,1262044800,6.02,32.54,2009-12-29 00:00:00,38.39,2009-12-29 14:00:00,28,2009-12-29 02:00:00,33.15,2009-12-29 15:00:00,"0910-85","Bolton","Bolton",53.58055556,-2.53555556,
2010-02-27,"Mostly cloudy throughout the day.","partly-cloudy-day",2010-02-27 07:04:02,2010-02-27 17:44:36,0.46,0,0,,0,,40.84,1267275600,37.11,1267344000,38,1267275600,32.92,1267344000,35.01,0.91,992.1,3.29,9.06,1267272000,82,0.61,2,1267268400,6.03,33.34,2010-02-27 06:00:00,40.84,2010-02-27 13:00:00,33.34,2010-02-27 06:00:00,38,2010-02-27 13:00:00,"0910-86","Bolton","Bolton",53.58055556,-2.53555556,
2009-10-31,"Partly cloudy until afternoon.","partly-cloudy-day",2009-10-31 07:09:17,2009-10-31 16:40:38,0.42,4e-04,0.0103,2009-10-31 00:00:00,0.41,"rain",59.67,1256997600,51.78,1257062400,59.67,1256997600,51.78,1257062400,52.32,0.89,1017.34,3.77,12.35,1256947200,184,0.35,1,1256983200,5.77,52.83,2009-10-31 21:00:00,59.67,2009-10-31 14:00:00,52.83,2009-10-31 21:00:00,59.67,2009-10-31 14:00:00,"0910-87","Bolton","Bolton",53.58055556,-2.53555556,
2010-04-24,"Clear throughout the day.","clear-day",2010-04-24 05:50:56,2010-04-24 20:27:51,0.36,0,0,,0,,65.64,1272121200,49.94,1272171600,65.64,1272121200,47.79,1272175200,33.58,0.5,1016.12,4.1,12.81,1272114000,149,0.1,6,1272110400,5.65,39.85,2010-04-24 06:00:00,65.64,2010-04-24 16:00:00,37.91,2010-04-24 07:00:00,65.64,2010-04-24 16:00:00,"0910-88","Bolton","Bolton",53.58055556,-2.53555556,
2010-02-06,"Foggy starting in the evening.","fog",2010-02-06 07:47:59,2010-02-06 17:03:05,0.76,0,0,,0,,42.99,1265464800,35.17,1265529600,42.99,1265464800,33.14,1265522400,36.09,0.95,1015.53,1.18,4.99,1265464800,28,0.2,1,1265454000,3.07,33.42,2010-02-06 08:00:00,42.99,2010-02-06 14:00:00,33.42,2010-02-06 08:00:00,42.99,2010-02-06 14:00:00,"0910-89","Bolton","Bolton",53.58055556,-2.53555556,
2009-12-15,"Mostly cloudy throughout the day.","partly-cloudy-day",2009-12-15 08:22:05,2009-12-15 15:51:29,0.97,0,0,,0,,41.33,1260885600,38.36,1260928800,41.33,1260885600,38.36,1260928800,39.63,0.95,1018.19,1.37,8.99,1260864000,33,0.7,0,1260835200,5.26,38.7,2009-12-15 23:00:00,42.74,2009-12-15 02:00:00,38.05,2009-12-15 08:00:00,42.74,2009-12-15 02:00:00,"0910-90","Bolton","Bolton",53.58055556,-2.53555556,
2010-05-09,"Partly cloudy throughout the day.","partly-cloudy-day",2010-05-09 05:20:52,2010-05-09 20:54:56,0.85,0,0,,0,,55.22,1273402800,44.1,1273474800,55.22,1273402800,40.47,1273474800,36.3,0.65,1015.04,2.92,9.68,1273420800,20,0.41,6,1273406400,6.22,36.89,2010-05-09 05:00:00,55.22,2010-05-09 12:00:00,36.89,2010-05-09 05:00:00,55.22,2010-05-09 12:00:00,"0910-91","Bolton","Bolton",53.58055556,-2.53555556,
2010-01-17,"Partly cloudy throughout the day.","partly-cloudy-night",2010-01-17 08:17:41,2010-01-17 16:24:59,0.07,0,0,,0,,44.95,1263736800,38.64,1263762000,42.14,1263736800,35.11,1263758400,37.16,0.9,1013.73,4.26,11.13,1263736800,220,0.36,1,1263729600,5.66,35.85,2010-01-17 05:00:00,44.95,2010-01-17 14:00:00,32.02,2010-01-17 05:00:00,42.14,2010-01-17 14:00:00,"0910-92","Bolton","Bolton",53.58055556,-2.53555556,
2010-01-26,"Mostly cloudy until evening.","partly-cloudy-day",2010-01-26 08:06:15,2010-01-26 16:41:28,0.36,0,0,,0,,37.53,1264518000,35.22,1264539600,37.53,1264518000,33.63,1264579200,30.76,0.82,1041.79,0.59,4.26,1264507200,49,0.64,1,1264503600,5.45,35.15,2010-01-26 08:00:00,37.53,2010-01-26 15:00:00,35.15,2010-01-26 08:00:00,37.53,2010-01-26 15:00:00,"0910-93","Bolton","Bolton",53.58055556,-2.53555556,
